2024/01/05 01:13:00 [error] 15#15: *37 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.2.13, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 01:13:02 [error] 15#15: *41 connect() failed (113: No route to host) while connecting to upstream, client: 10.89.2.13, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://10.89.2.15:9000", host: "localhost:8080"
2024/01/05 01:13:04 [error] 15#15: *41 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.2.13, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 01:13:19 [error] 15#15: *1 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.2.20, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 01:13:23 [error] 15#15: *5 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.2.20, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 02:16:48 [error] 15#15: *5 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.3.16, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 02:16:50 [error] 15#15: *5 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.3.16, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 02:17:15 [error] 15#15: *8 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.3.16, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 02:18:10 [error] 15#15: *10 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.3.16, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 02:18:27 [error] 15#15: *19 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.3.16, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 02:18:49 [error] 15#15: *24 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.3.16, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/05 02:18:50 [error] 15#15: *24 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.3.16, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
